表章項目 コード,表章項目 補助コード,表章項目,時間軸（月次） コード,時間軸（月次） 補助コード,year,都道府県 コード,都道府県 補助コード,prefecture,/国籍,total,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国,朝鮮,韓国・朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,ユーゴスラヴィア,アルメニア,アゼルバイジャン,アンドラ,ジョージア（グルジア）,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,モンテネグロ,セルビア,コソボ,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,赤道ギニア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,スワジランド,サントメ・プリンシペ,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
101,,人数【人】,2016001212,,2016年12月,44000,,大分県,,"11,149","10,077",41,1,93,-,3,110,1,131,170,"2,997",162,-,1,100,592,16,-,-,-,"2,048",153,***,-,8,1,34,50,-,1,207,36,"1,341",-,1,-,22,379,1,"1,375",2,-,394,-,6,2,6,-,-,5,4,1,11,26,27,-,5,1,4,14,2,2,-,-,1,3,-,-,1,-,10,4,4,5,8,31,-,15,9,6,-,21,60,2,96,***,-,1,-,1,-,-,-,-,-,-,-,84,1,-,4,5,-,-,-,1,-,-,-,-,3,-,-,-,2,-,-,-,-,20,1,-,-,-,-,-,4,-,-,4,-,11,-,1,4,-,1,-,-,-,-,3,-,1,3,5,6,1,-,2,-,1,366,1,-,-,48,2,-,1,-,1,2,2,1,3,27,-,-,-,-,-,-,277,-,1,103,9,2,56,2,1,1,3,1,26,-,1,1,124,62,14,-,1,1,21,-,-,-,1,7,-,1,16,1
101,,人数【人】,2016001212,,2016年12月,45000,,宮崎県,,"5,100","4,525",93,-,103,-,-,16,-,59,7,"1,471",53,-,-,25,360,1,-,-,-,554,11,***,-,2,-,13,20,-,-,157,34,636,-,-,1,5,52,1,851,-,-,158,-,-,1,2,1,-,-,2,-,2,11,11,1,1,-,5,12,-,-,-,-,-,-,-,-,-,-,4,-,2,1,13,10,-,4,1,3,-,-,59,7,-,***,-,-,-,-,1,1,1,-,-,2,-,57,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,1,1,-,-,-,-,4,-,2,7,-,-,-,-,-,-,6,-,-,1,11,16,1,-,-,-,-,255,-,-,-,46,1,3,1,-,-,-,-,-,7,5,2,-,-,-,-,2,188,-,-,40,-,4,25,-,4,2,-,-,5,-,-,-,65,45,1,1,-,-,16,-,-,-,-,2,-,-,-,-
101,,人数【人】,2016001212,,2016年12月,46000,,鹿児島県,,"7,954","7,136",8,-,25,-,1,39,-,89,21,"2,353",144,-,-,17,170,3,-,2,-,498,41,***,-,3,-,32,14,-,-,145,38,"1,760",-,-,2,4,76,4,"1,647",-,-,244,1,2,1,2,3,-,1,4,-,1,32,21,1,1,-,4,11,4,-,-,-,-,1,-,-,-,-,10,-,11,1,8,10,-,12,6,3,-,-,85,7,-,***,-,-,-,-,-,1,-,-,-,-,-,57,-,-,-,-,-,-,-,-,-,-,2,-,-,-,3,2,-,-,-,-,3,2,-,-,-,-,-,1,1,2,-,-,-,6,-,-,-,-,-,-,-,-,-,6,-,1,1,4,23,-,-,-,-,-,356,-,3,-,53,2,1,1,-,1,-,-,2,7,6,-,2,-,-,-,-,278,-,-,87,5,1,57,1,2,1,-,6,12,-,-,2,65,34,6,-,-,4,16,-,4,-,1,-,-,-,-,9
101,,人数【人】,2016001212,,2016年12月,47000,,沖縄県,,"14,285","9,910",67,-,69,-,-,59,-,16,83,"2,053",740,1,-,303,461,21,-,8,1,"1,093",25,***,-,17,-,51,29,-,4,"1,919",32,"1,890",-,-,1,25,123,13,802,1,3,806,-,8,16,6,1,1,2,6,4,4,127,73,5,8,-,23,55,42,20,-,-,-,2,-,-,1,-,15,2,24,4,20,62,-,41,22,16,-,-,180,8,2,***,1,-,-,1,1,2,-,-,-,1,-,120,1,-,3,4,-,-,-,-,-,-,-,-,2,-,-,-,2,2,-,-,-,8,-,-,-,1,-,1,6,-,9,2,1,17,-,-,2,2,-,-,-,-,-,1,1,-,1,18,24,2,5,5,-,-,"2,681",1,1,-,135,3,2,1,1,-,-,-,-,8,23,-,-,-,-,-,1,"2,505",-,-,647,61,8,312,3,14,-,-,3,246,-,-,-,113,61,9,-,-,-,31,-,3,4,1,3,-,1,-,8
101,,人数【人】,2016001212,,2016年12月,99101,,未定・不詳,,"1,124",553,-,-,-,1,-,5,-,1,11,85,99,-,-,15,6,5,-,-,-,116,17,***,-,-,-,6,5,-,-,5,2,122,-,3,-,1,21,2,24,-,1,241,-,2,1,2,-,-,-,7,-,-,82,50,-,2,-,3,2,-,-,-,-,-,1,-,-,-,-,2,2,1,1,4,7,-,1,1,2,-,-,68,-,-,***,-,-,-,-,-,-,-,-,-,-,-,7,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,1,-,-,-,-,106,-,-,-,33,-,-,-,-,-,-,1,-,-,3,-,-,-,-,-,-,69,-,-,44,1,1,32,-,-,1,-,1,6,-,-,2,172,137,-,-,-,-,35,-,-,-,-,-,-,-,-,1
101,,人数【人】,2016000606,,2016年6月,0,,全国,,"2,307,388","1,904,678","2,787",87,"15,912",22,98,"11,470",75,"7,370","15,193","677,571","50,908",37,28,"27,592","39,540","3,993",114,525,157,"456,917","33,273",***,26,"2,640",116,"8,946","7,154",23,49,"60,689","13,221","237,103",25,961,503,"2,588","46,690","4,405","175,744",67,59,"69,894",75,572,777,541,314,190,359,523,546,824,"11,338","6,520",274,581,75,"1,047","3,769",384,323,11,39,216,538,1,18,154,36,"1,160",406,"1,597",555,"2,434","8,205",1,"2,655","1,787","1,057",36,122,"15,652","1,745","1,632",***,45,82,1,43,121,261,31,5,10,196,10,"14,001",192,15,37,494,14,1,19,363,7,2,71,11,432,***,32,24,"2,033",343,47,2,129,743,23,54,6,86,149,14,463,79,73,117,17,"2,719",16,79,498,42,8,238,8,***,4,429,30,438,517,739,"1,840",53,86,126,26,13,"67,235",25,16,11,"9,672",155,227,512,11,119,120,25,146,627,"2,262",85,69,6,5,3,79,"53,050",3,7,"237,630","2,650","5,467","176,284",649,"2,319",207,9,"1,924","47,670",5,96,350,"13,347","9,674",211,9,11,34,"3,095",2,47,32,40,120,2,5,65,603
101,,人数【人】,2016000606,,2016年6月,1000,,北海道,,"26,756","22,172",67,-,116,-,3,136,1,103,75,"9,463",894,1,-,176,322,21,5,6,4,"4,168",688,***,-,11,-,176,174,1,4,623,210,"1,454",-,6,8,39,522,16,"2,678",-,1,"1,822",-,19,9,10,7,6,13,13,3,28,187,118,8,16,3,50,51,8,15,-,2,2,13,-,1,-,-,16,6,58,8,25,504,-,31,30,38,-,2,457,22,20,***,-,5,-,1,4,13,-,-,-,-,-,302,1,-,2,4,-,-,-,-,1,-,2,-,18,***,1,1,10,10,-,-,7,17,-,-,-,16,1,1,8,6,5,5,-,21,-,1,13,-,-,1,-,***,-,4,1,6,13,20,82,6,16,2,-,-,"1,515",-,-,-,307,3,8,5,-,2,3,-,5,18,32,2,2,-,-,-,-,"1,128",-,-,235,11,7,147,10,11,4,-,12,28,-,2,3,701,528,1,-,-,-,156,-,3,-,6,1,-,3,3,9
101,,人数【人】,2016000606,,2016年6月,2000,,青森県,,"4,528","3,891",6,-,13,-,-,6,-,35,2,"1,264",55,-,-,35,120,2,-,-,-,762,80,***,-,3,-,57,9,-,-,108,53,558,-,-,-,3,108,3,609,-,-,129,-,-,-,-,-,-,-,2,-,-,20,7,1,2,-,2,4,-,-,-,-,-,-,-,-,-,-,1,-,2,-,20,23,-,12,1,-,-,-,29,2,-,***,-,-,-,-,-,1,-,-,-,-,-,21,4,-,-,-,-,-,-,-,-,-,-,-,1,***,-,-,1,-,-,-,-,3,-,-,-,1,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,***,-,1,-,1,-,3,4,-,-,-,-,-,419,-,-,-,35,-,1,-,-,1,-,-,-,5,7,-,-,-,-,-,-,370,-,-,38,2,1,28,-,2,-,-,-,5,-,-,-,29,19,-,-,-,-,9,-,-,-,1,-,-,-,-,1
101,,人数【人】,2016000606,,2016年6月,3000,,岩手県,,"6,054","5,591",8,-,54,-,2,14,-,8,6,"2,181",72,-,-,28,177,1,-,-,-,789,99,***,-,7,-,12,29,-,-,98,45,"1,079",-,-,-,8,71,-,803,-,-,115,-,-,1,-,-,1,-,1,-,3,10,17,-,-,3,1,3,2,-,-,-,-,-,-,-,-,-,2,-,3,-,8,16,-,1,2,4,-,-,32,4,-,***,-,-,-,-,-,-,-,-,-,1,-,30,-,-,-,-,-,-,-,-,-,-,-,-,1,***,-,-,-,1,-,-,1,5,-,-,-,1,-,-,-,-,-,-,-,4,2,-,1,-,-,-,-,***,-,1,-,4,-,4,4,-,-,1,-,-,226,-,1,-,32,-,1,-,-,1,-,-,1,3,6,-,-,-,-,-,-,181,-,-,53,2,-,38,1,4,1,-,3,4,-,-,-,39,25,-,-,-,-,12,-,-,-,-,2,-,-,-,-
101,,人数【人】,2016000606,,2016年6月,4000,,宮城県,,"18,197","16,093",23,-,89,-,16,162,-,25,85,"5,882",312,2,-,159,605,42,-,3,1,"3,367",310,***,2,4,1,118,87,-,2,"1,172",202,"1,200",-,-,10,26,273,35,"1,874",3,1,654,-,5,3,1,2,1,8,4,3,13,104,72,2,4,1,10,29,2,1,-,-,3,2,-,-,-,-,11,-,14,4,18,108,-,28,32,7,2,-,127,11,12,***,2,1,-,-,-,6,-,-,-,-,1,160,6,-,4,5,-,-,1,8,-,-,-,-,4,***,4,-,17,1,-,-,-,10,-,3,-,4,1,-,5,-,-,2,-,13,-,1,4,-,-,1,-,***,-,2,-,4,7,17,33,1,1,-,1,-,904,-,1,-,125,3,7,2,-,6,5,1,4,16,29,2,1,-,-,-,1,701,-,-,257,6,10,156,14,9,2,-,3,47,-,1,9,119,89,2,1,-,-,22,-,-,-,3,1,-,-,1,10
101,,人数【人】,2016000606,,2016年6月,5000,,秋田県,,"3,731","3,196",4,2,8,-,-,5,5,32,3,"1,188",68,1,-,22,56,6,-,-,-,568,65,***,-,1,-,53,46,-,-,67,22,703,1,-,-,5,66,1,198,-,-,160,-,-,1,1,1,1,1,4,-,3,16,10,2,1,-,5,7,-,1,-,-,2,1,-,-,-,-,4,5,3,3,10,25,-,5,3,-,-,-,37,5,-,***,-,-,-,-,-,2,-,-,-,1,-,32,-,-,3,1,-,-,-,-,-,-,-,-,1,***,-,-,5,-,-,-,-,2,-,-,-,1,-,-,-,4,-,1,-,-,-,-,1,-,-,-,-,***,-,2,-,2,-,1,4,-,3,1,-,-,264,2,-,-,21,-,-,-,-,-,1,-,2,1,3,-,-,-,-,-,1,233,-,-,14,1,1,6,1,1,-,-,-,4,-,-,-,64,33,7,-,-,-,17,-,3,-,-,4,-,-,-,1
101,,人数【人】,2016000606,,2016年6月,6000,,山形県,,"6,246","5,772",1,-,16,-,-,31,4,25,5,"2,209",108,-,-,26,109,4,1,3,-,"1,624",45,***,-,2,-,40,19,-,-,44,31,700,-,1,-,2,122,5,593,-,2,132,-,1,1,-,-,-,3,1,1,1,8,13,2,8,-,13,2,-,-,-,-,3,-,-,-,2,-,1,-,-,-,7,14,-,-,-,-,-,1,47,1,-,***,-,-,-,-,-,2,-,-,-,-,-,30,-,-,-,2,-,-,-,-,-,-,3,-,1,***,-,-,1,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,1,-,5,-,-,-,-,-,***,-,2,-,-,2,-,6,-,1,-,-,-,172,-,-,-,29,-,1,-,-,-,-,-,1,2,-,-,-,-,-,-,-,139,-,-,104,-,10,80,1,-,1,-,1,10,-,-,1,35,21,-,-,-,-,13,-,-,-,-,-,-,-,1,1
101,,人数【人】,2016000606,,2016年6月,7000,,福島県,,"11,456","10,425",19,-,142,-,-,35,1,37,39,"3,602",120,-,-,90,208,6,-,1,-,"1,450",248,***,-,11,-,30,49,-,-,467,96,"2,400",-,2,3,5,324,2,"1,038",-,-,230,-,1,-,2,1,-,-,-,2,-,8,19,-,4,-,4,6,1,-,-,-,-,-,-,-,-,-,6,1,7,1,6,41,-,5,-,3,-,-,87,20,4,***,-,-,-,-,-,1,-,-,-,-,-,52,-,-,-,2,-,-,-,-,-,-,-,-,-,***,-,-,8,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,18,-,-,2,-,-,1,-,***,-,2,-,4,1,4,7,-,-,1,-,-,384,1,-,-,84,1,-,1,-,1,-,-,-,12,11,-,-,-,-,-,2,271,-,-,276,5,6,199,1,3,2,-,15,41,-,-,4,89,55,10,-,-,-,22,-,-,-,-,2,-,-,-,-
101,,人数【人】,2016000606,,2016年6月,8000,,茨城県,,"56,153","45,704",219,1,262,1,4,492,5,448,"1,496","12,383","1,286",2,5,880,"3,010",215,21,10,1,"4,429",355,***,1,267,6,208,179,-,2,945,"1,130","9,074",-,14,8,35,"4,538",19,"3,750",2,1,"1,234",-,7,12,11,14,6,14,7,4,13,115,99,12,20,1,22,37,29,23,-,-,5,13,-,1,4,-,22,7,34,5,35,202,-,39,8,11,6,29,214,40,67,***,1,2,-,4,17,11,2,-,-,8,1,473,8,-,-,30,-,-,1,1,-,-,3,-,12,***,2,2,31,6,2,-,3,34,1,1,1,1,4,-,11,7,-,6,1,87,-,1,5,2,-,10,-,***,-,5,-,28,34,13,91,-,12,14,1,2,"1,040",-,-,-,159,2,4,11,-,1,7,3,6,11,61,8,-,-,-,-,1,762,-,4,"7,516",55,104,"5,579",18,69,1,-,16,"1,662",-,1,11,174,114,8,-,-,1,40,-,4,-,2,4,-,-,1,12
101,,人数【人】,2016000606,,2016年6月,9000,,栃木県,,"35,924","26,393",43,-,320,-,2,376,-,89,833,"6,709","1,003",-,-,672,739,138,2,5,-,"2,410",227,***,-,24,1,154,124,-,-,"2,256",692,"4,438",-,18,6,16,"1,806",37,"3,253",-,-,446,1,6,3,-,1,-,2,5,6,2,48,34,-,3,-,13,11,6,2,-,-,-,6,-,-,1,-,10,2,8,2,36,64,-,7,10,2,-,-,135,7,8,***,1,-,-,-,1,1,1,-,-,1,-,206,2,-,1,17,1,-,-,22,-,-,1,-,5,***,-,1,20,18,-,-,2,14,1,-,-,4,2,-,6,3,-,3,-,46,-,1,8,1,-,-,-,***,-,6,1,2,5,3,6,1,1,2,-,-,620,-,-,-,76,5,2,11,-,1,3,-,4,5,19,-,-,-,-,-,2,492,-,-,"8,153",127,333,"4,294",5,42,-,-,95,"3,249",-,-,8,97,63,4,-,-,-,26,-,-,1,-,-,-,1,2,9
101,,人数【人】,2016000606,,2016年6月,10000,,群馬県,,"48,320","29,259",50,-,400,-,1,659,-,136,365,"7,162",482,-,-,380,"1,163",180,-,3,1,"2,288",333,***,-,12,3,138,131,-,-,"1,906",837,"6,578",-,-,1,18,963,170,"4,896",2,1,483,1,4,1,4,2,-,3,1,-,-,37,20,1,4,-,16,20,-,-,-,-,-,2,-,-,3,-,2,-,11,2,85,81,-,30,3,3,-,-,113,7,21,***,-,2,-,-,2,1,-,-,-,1,-,157,4,1,-,26,-,-,-,4,-,-,-,-,6,***,-,-,17,18,-,-,-,8,-,-,-,-,10,-,4,-,-,6,-,21,-,-,1,-,-,-,-,***,-,3,-,9,4,6,4,-,-,5,-,-,631,-,-,-,93,5,3,15,-,3,1,-,1,6,29,1,1,-,-,-,1,472,-,-,"17,637",171,473,"11,982",45,47,3,-,177,"4,726",-,8,5,139,89,-,-,-,-,38,1,1,-,-,9,-,-,1,14
101,,人数【人】,2016000606,,2016年6月,11000,,埼玉県,,"145,997","127,204",100,4,618,1,7,"1,437",4,182,912,"57,671","3,011",1,-,"1,206","1,747",482,2,18,17,"15,643","1,521",***,1,70,2,560,613,-,5,"3,397","2,122","18,189",-,98,29,103,"2,857","1,082","13,483",7,2,"2,608",1,21,12,11,11,4,13,15,5,25,299,200,15,38,1,40,118,19,16,-,1,4,12,-,-,13,2,23,16,74,22,113,407,-,88,57,22,-,2,617,87,133,***,6,5,-,1,15,12,1,-,1,10,-,"1,644",7,1,-,121,1,-,1,56,-,-,12,-,40,***,5,-,396,66,21,1,3,41,1,1,-,2,23,-,33,5,3,2,1,493,-,4,80,5,1,20,-,***,-,20,5,57,33,16,57,1,1,7,1,-,"2,489",1,1,-,384,6,10,33,-,7,4,-,9,18,121,3,5,-,-,-,1,"1,886",-,-,"11,541",180,163,"7,182",53,168,10,-,207,"3,562",-,6,10,469,307,12,1,1,4,131,-,-,4,1,4,-,-,4,42
101,,人数【人】,2016000606,,2016年6月,12000,,千葉県,,"128,660","114,208",945,-,717,-,8,775,1,192,"2,624","44,861","3,331",1,1,"1,473","1,837",430,10,17,22,"15,492",829,***,1,66,2,585,913,-,2,"4,055","1,007","17,296",-,16,27,133,"5,379",82,"11,061",15,2,"2,829",7,33,25,15,14,4,15,12,5,38,272,161,15,38,4,42,93,25,19,2,2,5,20,-,-,6,-,28,17,55,28,95,527,-,93,50,36,1,3,771,97,129,***,-,2,-,1,3,12,1,-,-,7,1,"1,183",7,1,-,63,-,-,2,22,1,-,2,-,33,***,3,2,280,14,-,-,11,74,10,1,-,3,5,1,24,2,3,4,1,279,1,4,20,3,1,48,-,***,-,30,4,13,90,47,66,-,1,7,-,-,"3,028",-,-,1,452,13,14,22,2,9,10,2,16,43,234,4,1,1,-,-,2,"2,201",-,1,"6,799",104,183,"3,371",86,235,8,-,87,"2,708",-,4,13,582,382,25,-,-,-,154,-,2,4,1,6,-,-,8,31
101,,人数【人】,2016000606,,2016年6月,13000,,東京都,,"483,538","420,452",156,51,"7,930",2,12,"3,609",24,484,"2,051","181,670","17,415",12,3,"10,923","3,798","1,022",28,241,28,"90,696","5,864",***,15,203,49,"2,520","2,089",2,10,"21,005","1,133","30,711",5,359,78,"1,109","7,897",701,"26,530",7,10,"27,177",23,229,336,155,116,48,121,247,49,257,"6,114","2,725",85,174,35,378,"1,757",59,112,7,18,27,86,1,9,41,13,448,145,425,184,522,"2,447",-,"1,050",959,438,8,24,"5,993",437,671,***,14,20,-,11,22,41,11,2,2,77,4,"3,060",62,3,6,98,6,-,3,62,1,-,17,5,149,***,5,2,519,135,7,1,36,117,5,22,3,12,41,5,148,18,19,12,2,542,6,13,120,19,5,32,1,***,1,70,6,146,95,172,254,9,14,25,6,3,"21,848",4,2,4,"3,131",28,79,46,5,20,29,4,26,78,537,7,16,1,-,1,14,"17,815",1,-,"6,516",280,116,"3,307",141,524,42,-,70,"1,928",3,19,86,"4,385","3,397",46,-,2,6,881,-,6,9,8,21,-,1,8,100
101,,人数【人】,2016000606,,2016年6月,14000,,神奈川県,,"186,233","153,166",46,18,555,2,9,930,3,"1,733","2,055","60,618","4,738",2,10,"4,296","2,202",521,6,30,14,"27,814","1,818",***,1,"1,250",12,984,655,5,2,"4,085","1,096","20,321",14,185,31,269,"4,189",186,"12,454",4,3,"6,773",2,73,70,36,26,18,43,29,14,53,954,961,32,54,3,87,323,39,26,-,9,5,23,-,2,21,1,151,38,129,51,234,818,1,245,146,120,13,11,"1,547",193,115,***,2,13,-,2,14,10,7,-,2,7,-,"1,669",14,-,1,34,4,-,2,43,1,1,9,2,18,***,1,2,327,23,5,-,29,71,1,2,1,9,32,1,54,5,15,12,-,456,1,8,110,1,-,7,1,***,-,111,6,41,33,55,81,7,10,17,5,-,"6,687",-,2,1,870,30,19,184,2,17,13,4,9,64,239,16,5,-,2,-,9,"5,200",1,-,"16,902",655,751,"8,333",40,304,48,2,242,"6,470",-,6,51,954,714,18,-,-,8,199,-,1,3,1,5,1,-,4,82
101,,人数【人】,2016000606,,2016年6月,15000,,新潟県,,"14,149","12,508",29,-,96,-,-,59,2,25,169,"4,955",184,-,1,78,318,14,1,2,3,"1,785",139,***,-,20,-,86,150,-,-,224,277,"2,218",1,2,2,19,416,8,"1,224",-,1,557,4,3,2,-,-,-,4,-,-,1,36,36,1,1,-,2,24,20,3,-,-,-,-,-,-,-,-,8,1,6,-,20,201,-,14,6,6,-,9,105,9,29,***,-,1,-,-,1,3,-,-,-,1,-,131,1,1,2,2,-,-,-,2,-,-,1,-,8,***,1,-,19,-,1,-,6,18,-,-,-,1,4,1,7,-,1,9,-,8,-,-,6,-,-,3,-,***,-,3,1,2,-,7,14,1,-,1,-,-,442,-,-,-,55,8,-,-,-,1,2,-,1,8,43,-,1,-,-,-,1,322,-,-,385,6,3,298,3,3,-,-,3,67,-,-,2,125,89,1,-,-,2,33,-,-,-,-,-,-,-,-,1
101,,人数【人】,2016000606,,2016年6月,16000,,富山県,,"14,464","11,196",2,-,36,-,-,102,-,38,22,"4,975",145,-,1,132,289,3,-,4,1,950,112,***,-,2,-,86,20,-,-,62,505,"1,931",-,-,5,5,144,-,"1,624",-,-,655,2,1,1,3,4,-,5,-,1,5,11,7,-,7,-,4,9,-,2,-,-,1,-,-,-,3,-,2,1,1,2,31,472,-,5,-,3,-,1,47,16,3,***,-,-,-,-,-,2,-,-,-,3,-,45,1,-,-,1,-,-,-,11,-,-,2,-,-,***,-,-,3,-,-,-,-,2,-,-,-,-,-,-,3,-,-,1,-,3,-,-,-,-,-,-,-,***,-,-,-,-,-,5,12,1,-,-,-,-,227,-,-,-,25,-,-,1,-,-,-,-,-,8,8,2,-,-,-,-,2,181,-,-,"2,302",5,31,"2,087",2,2,-,-,121,54,-,-,-,39,31,-,-,-,-,6,-,1,-,-,-,-,-,1,-
101,,人数【人】,2016000606,,2016年6月,17000,,石川県,,"12,092","10,044",1,-,133,-,-,63,-,23,10,"4,394",177,-,-,112,531,10,1,1,1,"1,413",220,***,-,3,-,70,81,-,1,144,36,820,-,-,11,6,274,6,"1,501",-,1,350,-,2,7,1,4,-,3,1,-,3,41,30,2,3,-,13,17,-,-,-,-,-,2,-,-,-,-,1,1,8,-,21,70,-,11,4,8,-,1,71,8,-,***,-,1,-,2,-,9,-,-,-,5,-,87,-,-,-,-,-,-,1,-,-,-,-,-,1,***,-,-,1,-,-,-,-,5,-,-,-,-,-,-,2,-,-,5,-,9,1,-,1,-,-,-,1,***,-,2,-,5,-,8,44,-,-,1,-,-,326,-,-,-,46,-,2,3,-,1,-,-,1,5,13,2,1,-,-,-,2,250,-,-,"1,221",13,8,"1,102",2,5,-,-,9,80,-,1,1,64,42,2,-,-,-,16,-,-,-,-,4,-,-,-,-
101,,人数【人】,2016000606,,2016年6月,18000,,福井県,,"12,347","8,913",7,-,79,-,-,19,-,79,5,"3,328",92,-,-,6,203,5,1,1,-,"2,264",293,***,-,2,-,68,12,-,1,56,19,"1,316",-,-,-,3,225,1,828,-,-,160,-,1,-,-,1,-,1,1,-,2,8,9,-,2,1,5,7,-,1,-,-,-,2,-,-,1,-,2,-,1,2,4,68,-,2,2,1,-,-,18,9,5,***,1,-,-,1,-,2,-,-,-,-,-,20,1,-,-,-,-,-,-,2,-,-,-,-,1,***,-,-,-,-,-,-,-,3,-,-,-,-,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,***,-,1,-,-,-,4,4,-,-,-,-,-,210,-,-,-,24,-,1,-,-,-,-,-,-,6,1,-,1,-,-,-,-,177,-,-,"3,018",2,-,"2,925",2,2,-,-,3,83,-,-,1,21,15,-,-,-,-,5,-,1,-,-,-,-,-,-,5
101,,人数【人】,2016000606,,2016年6月,19000,,山梨県,,"14,461","10,436",1,-,8,-,-,22,1,1,78,"3,446",510,1,-,288,189,54,-,-,-,"1,912",48,***,-,16,-,76,39,-,-,135,29,"2,003",-,-,-,7,662,4,906,-,-,236,-,2,5,-,-,1,3,1,-,5,28,22,-,-,-,7,11,-,1,-,-,-,-,-,-,1,-,9,4,3,6,7,19,-,2,4,7,-,-,78,3,1,***,-,2,-,-,-,1,-,-,-,3,-,40,2,-,-,-,-,-,-,-,-,-,-,-,-,***,-,-,2,-,-,-,-,3,-,-,-,-,-,-,3,-,-,-,-,4,-,-,8,-,-,3,-,***,-,-,-,1,1,6,5,1,-,1,-,-,361,-,-,-,52,2,1,1,-,1,1,-,-,4,3,-,-,-,-,-,5,291,-,-,"3,323",8,38,"2,512",1,22,-,-,22,712,1,-,7,61,41,-,-,-,1,16,-,-,-,-,2,-,-,1,4
101,,人数【人】,2016000606,,2016年6月,20000,,長野県,,"32,743","25,337",3,-,134,-,1,68,-,88,216,"9,644",720,-,-,58,848,47,2,3,2,"3,554",331,***,-,9,-,112,88,-,-,296,178,"4,676",1,5,-,26,"2,234",6,"1,987",-,-,548,-,10,9,3,-,-,3,3,1,8,77,55,-,6,-,2,19,3,-,-,-,-,1,-,1,-,1,22,1,7,2,10,41,-,12,16,9,-,3,204,4,8,***,-,-,-,-,1,4,2,-,-,-,-,67,1,-,4,-,-,-,1,2,-,-,1,-,3,***,-,-,4,-,1,-,-,2,-,-,-,2,-,-,4,-,-,-,-,9,-,-,5,1,1,-,2,***,-,2,-,3,3,7,7,-,-,2,-,-,748,-,-,-,141,2,1,9,-,1,-,1,1,4,20,4,-,-,-,-,-,564,-,-,"5,734",30,150,"4,966",11,19,5,-,102,443,-,1,7,304,254,1,-,-,-,49,-,-,-,-,-,-,-,-,5
